County,City,avg_wage,deposite,FAI,Gov_Rev,Gov_Exp,GDP,GDPPC,GIO,Loan,NIPCR,Bed,Emp,EmpR,EmpRT,Pri_Stu,Sec_Stu,Household,Household_R,NOIP,Pop_R,RSCG,Pop_T,Agri,Service,Disp_Inc,RORP,ROREmp
Longhui,Shaoyang,33615,11925,8723.9,425.06,2741.6,10511,9572,9317.9,3985.5,3177.6,2726,709.99,604.4,436.7,95.163,54.211,344.6,298.8,85,834.1,2819.6,1098.2,4320.396,3264.6,12049,0.759515571,0.851279595
Longshan,Hunan West,34203,5557,2810,218.53,2052.4,4933.6,9754,893.45,2128.2,4164,1505,334.42,266.7,167.5,42.189,30.946,148.2,126.1,18,345.8,2293.9,508.3,2248.709,921.5,13138,0.680306905,0.79750015
Luxi,Hunan West,32680,2946.8,1772,184.25,1337.6,4878.3,17472,7085.6,1626.6,4089.1,664,197.49,149.7,80.9,21.683,17.16,82.4,71.1,42,174.3,917.41,280.3,1036.088,540.8,13247,0.62183375,0.758013064
Mayang,Huaihua,32772,3456,2703.1,215.86,1461,4738.8,13744,3876.9,2242,4299.8,975,216.85,160,148.1,24.173,15.207,90.3,87.8,33,245,1581.7,345.6,1865.938,5.2,14487,0.708912037,0.737837215
Miluo,Yueyang,36113,4749.3,15828,1068.6,2446.5,29548,42497,66342,3330.6,9421.3,965,451.27,303.3,162.8,40.221,30.662,204.9,193.6,269,351.4,5817.7,697,5688.717,8978.5,23379,0.504160689,0.672103175
Nan,Yiyang,35272,8921.7,3367.5,300,1987.1,15568,21311,11804,4928.1,8369.8,1877,366.1,325.6,226.1,35.487,29.444,259.2,201.3,91,455.9,5266.2,732.8,7783.359,6781.7,17691,0.622134279,0.889374488
Ningxiang,Changsha ,40744,18662,49234,2448.9,4812.2,73250,62202,114145,18435,13763,4351,852.96,757.6,318.3,80.715,68.853,391.7,369.6,552,655.5,15623,1186.5,12804.48,18447.7,24020,0.552465234,0.888201088
Ningyuan,Yongzhou,34190,7351.4,7716.5,514.24,2234.4,8984.3,12697,5627.8,4249.4,4151.5,1753,444.92,401.3,157.8,68.336,32.471,185.5,157.8,64,460.9,3097.5,710.2,4283.431,9958.4,19742,0.648972121,0.901959903
Pingjiang,Yueyang,30017,8718.4,10627,461.62,2827,16444,17252,25647,5201.2,3780.8,2205,601.38,512.8,278.3,73.943,43.548,260.9,269.9,136,612.5,3448.3,957.5,5060.948,8789.3,14883,0.639686684,0.852705444
Qidong,Hengyang,30990,13633,6875.7,463.91,2413.2,17718,18001,26260,4246.1,9020.6,2055,607.64,529.2,311,80.694,51.474,289.2,287.3,115,627.8,6076,986.4,7380.18,15451.7,18256,0.636455799,0.870910407
Qiyang,Yongzhou,32059,14432,14439,499.51,2710.5,17705,20638,11567,6388.3,8816,2799,594.1,495.2,257.9,75.936,45.318,241.9,255.1,107,519.9,3832.7,860.7,6273.597,13568.8,19776,0.604043221,0.833529709
Rucheng,Chenzhou,35575,4777.6,3816.6,343,1492.7,3756,11286,4492.2,2426.2,2993.7,1130,232.28,197.3,127.8,33.101,14.478,111.3,101.6,43,235.7,751.8,333.2,2079.963,1744.7,13755,0.707382953,0.849405889
Sangzhi,Zhangjiajie,33916,3920,3081.3,248.06,1856.1,5615.4,14624,1694.8,2981.2,3405.9,1999,267.15,234.5,139.8,31.278,18.993,127.9,122.8,28,256.9,1803.3,385.5,3607.897,17585.8,45167,0.666407263,0.877784016
Shaodong,Shaoyang,31507,16184,12214,771.6,2757,22898,25246,29175,7855.3,10089,3080,724.31,547.7,310,99.082,59.009,363.2,297.8,148,524.9,8576.3,912.1,5704.602,4679.3,18296,0.575485144,0.756167939
Shaoshan,Xiangtan,33314,2626.4,4500,258.64,683.65,4956.8,55570,9717.6,1649,14916,488,73.652,62,33.6,5.91,3.201,27.147,30.4,48,57.7,1200.8,92.3,807.714,1630.3,24991,0.625135428,0.841796557
Shaoyang,Shaoyang,31783,8345.7,7237.3,376.42,2780.8,9031.2,9653,7887.8,2425.3,3499.3,2294,655.13,569.2,385,71.417,43.525,265.4,247.9,65,657.6,3406.3,942.3,5518.299,21656.5,65431,0.697866921,0.868835193
Shimen,Changde,33261,8334.4,10531,548.33,2178.8,16293,27137,17795,6026.5,6156,2502,392.05,329.6,193.8,29.245,26.104,190.6,184.7,122,399.2,6490.7,600.5,5266.51,6981,19275,0.664779351,0.840709093
Shuangfeng,Loudi,33684,11455,7904.9,470.59,2657.5,15225,17755,16665,3914,5470.3,1862,559.47,488.5,309.6,57.966,41.575,244.3,245.6,129,644.6,4596,859.4,7943.893,2613.1,14994,0.75005818,0.873147801
Shuangpai,Yongzhou,33302,1918,3572,226.37,881.96,3728,21942,2646.3,2056.4,4568.1,408,86.264,68,46.2,11.339,6.89,57.6,39.5,34,111.6,567.21,174.1,1866.171,9092.1,18479,0.641010913,0.788277845
Suining,Shaoyang,31750,4307.1,3605.6,222.4,1442.5,5658.1,16069,11150,1566.4,4990.4,802,264.08,208.9,145.2,26.2,14.261,108.8,86.3,54,268.4,1761.5,352.9,2064.499,1413.5,15004,0.760555398,0.791048167
Taojiang,Yiyang,35184,8657.4,8743,417.37,2276.8,15162,19509,18691,4656.8,8687.9,2504,472.8,411.4,194,48.047,33.234,260.9,208.8,153,504.5,5355.9,779.7,13878.842,13439.3,79214,0.647043735,0.870135364
Taoyuan,Changde,31877,11948,8656,710.08,2625.1,19603,22879,16529,4735,7682.6,2070,558.77,479.9,300.5,44.429,36.63,274.5,272,60,607.4,8926,857.1,18328.46,50619,60461,0.708668767,0.85885069
Tongdao,Huaihua,35400,2578,1525.4,165.59,1046.5,2653.2,12781,2514.5,1021,3696.4,882,144.49,105.5,82.2,15.913,7.776,57.9,49.7,27,154.2,749.14,208.1,981.418,644.2,12424,0.740989909,0.730154336
Wangcheng,Changsha,45171,12122,48829,2285.5,3802.3,37488,70666,148976,10330,16495,1678,361.48,268.6,131.2,28.838,24.815,161.3,154.8,314,266.6,5623.3,533.4,5222.356,6648.6,27690,0.499812523,0.743056324
Wugang,Shaoyang,30573,8618,7373.3,486.85,2346,9046.7,12112,5346,3852,4864.4,2250,483.62,402.5,271.4,70.758,43.683,243.9,194,52,502.9,3476,752.3,4613.704,1734.7,15126,0.668483318,0.832265001
Xiangtan,Xiangtan,35274,15516,10121,1236.6,3050.1,22728,27060,30730,12217,10135,2022,610.49,551.9,347.1,46.556,54.439,248.59,239.1,187,574,4889.1,845.2,10688.618,40758,69261,0.6791292,0.904027912
Xiangxiang,Xiangtan,33040,13298,9819,975.59,2942.8,23175,29361,39630,7900.3,9264.3,2451,586.4,492,324.5,47.743,39.612,231.71,242,189,535.7,5891.8,787.8,6852.943,17531.9,22297,0.679994923,0.839017735
Xiangyin,Yueyang,33169,5466.1,14714,520.53,2318.8,23265,33983,49507,5222.9,8824.5,1550,466.11,357.4,169.4,44.878,30.752,193.8,190.1,152,408.4,4273.2,686.9,6000.857,8175,19945,0.594555248,0.766771792
Xinhua,Loudi,32496,11075,6725.3,576.47,3599.5,14940,13398,12152,6121.2,3342.4,1542,755.14,677.9,451.6,96.224,57.67,316.6,313.8,112,817.4,5743.5,1116.7,6919.849,3145.3,13834,0.73197815,0.897714331
Xinhuang,Huaihua,31891,2373.1,2075.8,170.11,1069.3,3782.1,15412,3405.7,1265.2,3935.6,1350,149.71,105.6,104,15.938,8.781,72,72.5,36,178.6,873.45,246,1130.322,785.8,12732,0.72601626,0.705363703
Xinning,Shaoyang,32067,6126.3,5978.8,390.67,1830.6,6064.6,10732,3857.7,2899.9,3287.7,1565,429.84,347.8,227.4,41.633,22.005,171.4,146.5,38,383.6,1445.9,566.7,2415.712,2364.9,13031,0.676901359,0.809138284
Xinshao,Shaoyang,34199,7344.2,8313.8,384.19,2229.2,8590.9,11514,10829,5042.5,3986.4,2319,577.69,477.4,265.8,68.131,39.034,234.1,213,79,533.6,2941.6,749,3003.553,5679.2,13778,0.712416555,0.826394779
Xintian,Yongzhou,33609,3851.6,3401.9,250.31,1280.2,4776.4,14426,3357.4,1334.9,2894.9,1264,236.52,217.1,116.9,32.138,15.97,93.8,107.1,42,226.6,1329.8,332.1,2530.482,3134.3,16925,0.682324601,0.917892779
Xupu,Huaihua,29873,8675.5,6112.2,457.86,2452,10314,13863,6720.4,4588,5453.1,2106,512.61,400.9,292.3,53.793,29.166,226.1,211.2,71,516,3427.3,745.9,4308.431,242.6,16558,0.69178174,0.782076042
Yanling,Zhuzhou,34156,3274.4,5835,402.9,1038.2,4250.5,21021,5855.8,2379.6,3608.4,545,116.18,99,54,10.838,6.682,52.2,46,75,112.2,1241.2,202.2,971.5,6851,18652,0.554896142,0.852126011
Yizhang,Chenzhou,33508,7938.8,9992.5,750.4,2142.6,10455,17814,19120,3697,3788.6,2280,348.83,279.9,128.8,63.564,25.843,161.3,142.5,169,363.4,5037.5,588.9,2521.831,3584.6,19318,0.617082697,0.802396583
Yongshun,Hunan West,31234,4516.9,2464.1,220.66,2021.7,4142.1,9590,1061,2839.9,3963.1,1801,312.99,259.4,195.7,38.686,24.854,115.7,113.9,23,292.5,2247.3,433.3,2018.756,845.8,12650,0.675051927,0.828780472
Yongxing,Chenzhou,33278,7097.6,13456,1294.5,2476,21382,37651,43700,3053.7,9856.1,1969,375.5,304.9,133.5,52.44,19.765,172.5,145.7,175,333.5,4807.1,562.6,3174.984,4540.5,19960,0.592783505,0.811984021
You,Zhuzhou,36791,9541.6,15611,1533.3,2803,25153,36264,32738,6316.2,13021,1992,472.32,418,254.3,42.124,31.908,186.4,196.9,248,344.4,7654.8,693.7,6071.62,27443,22732,0.496468214,0.884993225
Yuanjiang,Yiyang,33302,7763.4,10486,509.45,2381.2,17603,26258,21082,6464.2,10060,1856,401.22,335.2,203.3,34.22,27.932,260.3,161,105,366.7,5125.1,672.5,6644.52,5899.6,20552,0.54527881,0.835451872
Yuanling,Huaihua,37762,5627,5466.8,677.4,2202.6,14156,24194,14835,2485.3,4265.4,2501,382.53,283.9,210.2,33.935,21.278,166.5,155.9,56,397,3092.5,586.5,2508.387,637.8,15165,0.676896846,0.742164013
Yueyang,Yueyang,31470,4946.6,15084,330.43,1971.6,18974,26360,36800,3668.7,10377,1616,411.26,293.3,173,40.218,30.051,201.5,150.9,158,435.3,5836.6,721.7,11279.478,15381.2,88494,0.603159207,0.713174148
Zhijiang,Huaihua,33582,4306.1,2802.2,356.96,1470,6992.5,20518,4491.8,2477.3,4535.1,935,223.75,175.5,116.1,23.693,14.726,101.8,94.3,56,247.6,2133.3,341.6,2576.47,90.8,13589,0.724824356,0.784357542
Zhongfang,Huaihua,34941,1296.3,7594.6,348.83,1048,7332.1,30846,8608.5,968.44,6082.5,662,170.25,103.1,89.3,12.709,8.563,71.1,70.9,56,173.8,1064.9,238.3,2917.158,1938.6,37231,0.729332774,0.605580029
Zhuzhou,Zhuzhou,37191,5395.6,4777.7,507.04,1408.8,7962.1,27589,6768.9,2970.2,11407,1032,210.38,177,106,12.436,11.824,92.2,85.2,82,210.6,2538.4,289.6,4236.37,10883,103228,0.727209945,0.841334728
Zixing,Chenzhou,34163,7873.2,14891,1556,2679,22261,65706,51921,5014.7,10838,1159,261.98,177.9,76,22.316,14.76,114,86.3,155,140.2,4835.8,340.2,2761.164,3636.3,21600,0.412110523,0.67905947
